n=5,seed=123
beta,E,dE,E^2,dE^2,A1,dA1,A2,dA2,A3,dA3,A1^2,dA1^2,A2^2,dA2^2,A3^2,dA3^2,I01,I02,I03,I12,I13,I23
0.5,0.4221865051269531,0.0007569458715051508,0.18917708736419675,0.0006505937004360055,0.012152343749999989,0.04582534504792888,-0.00011328124999998134,0.04572283896434761,-0.024529296875000006,0.04356749090979744,25.2104765625,0.23261865243737098,24.992085937500004,0.2235762835474457,24.636062500000012,0.21608504850539778,0.00034112050096446467,0.00015350558259807912,9.389126552417082e-5,0.0007997184900299104,0.000420728146469429,0.001242592935989606
2.0,0.40554725952148435,0.000594832893592153,0.1707883750534058,0.0004982789449609353,0.051261718750000004,0.04608948240985686,-0.021349609374999967,0.04660219481478571,-0.028271484375000017,0.04530702649942159,25.186484375,0.23187768559543176,25.0113203125,0.22346388800861502,24.9818984375,0.22648886510951954,0.000432214906390449,0.0001336171456980395,0.00014100012601847567,0.0007150268130970971,0.0004601672609521046,0.0012537631640627822
5.0,0.4773559875488281,0.00032939052300572173,0.23086236057281498,0.0003180006541464658,0.09256445312499997,0.045859973322575125,0.016623046875000012,0.04750537910474098,-0.03883984375000002,0.04709549092348554,25.353499999999997,0.22592203696453492,25.6696640625,0.2393682812572283,25.161210937500005,0.24190967715367384,0.0003820390929121231,0.00016688203207770869,0.0011464767560296352,0.0008223710769277304,0.0004934216195193741,0.0012510589044003595
10.0,0.34430890502929684,0.0005549587322536669,0.1242029887008667,0.0004019563086460941,0.013939453124999997,0.05004923539939599,0.01816992187499999,0.0474918641217648,-0.07702539062500002,0.05094633262029415,25.163914062499995,0.24683893285537473,24.818796875,0.24489465537379554,25.330078125,0.24704012249282395,0.00042325965845968483,0.00016056311556678082,0.0013165595551161147,0.000939360361172703,0.002526301015894461,0.0037411727624832025
15.0,0.3993260437011718,0.0007841702596588266,0.16750592144012452,0.0006424313115612142,-0.15279101562499997,0.05015166508244132,-0.04060156250000001,0.0524082469204623,0.20138281249999998,0.049556088629684164,25.443335937500002,0.2525438267760726,25.041328124999993,0.26208433338533055,24.3348828125,0.2506379535790678,0.0005207832793256983,0.00020381743316910672,0.0045404859708799705,0.0010645166869380773,0.00681269172607557,0.010302966134711156
20.0,0.37814061279296873,0.0005011154869409305,0.1469189652252197,0.0003897309111758792,0.029283203125000042,0.050141799560182845,-0.03923046874999999,0.0494479462483215,1.020984375,0.05054185082696259,25.111367187500004,0.26029280657416404,25.176695312499998,0.2693795476992267,25.627554687499995,0.27008967161356573,0.000475064137903658,0.0001984796472136452,0.009052816433803734,0.0011482415033574611,0.005276048431827718,0.008610135643850825
30.0,0.29378406982421873,0.0005360653822158103,0.089890619430542,0.0003372871169921481,0.016289062500000007,0.051577682545970706,0.10983007812500001,0.055275862610318645,0.05019335937499999,0.05324673016078108,24.963164062499995,0.25701232351084685,24.60878125,0.2824480757010489,23.181640624999993,0.2467767659707588,0.0006704894167617326,0.00037211697098715746,0.01037045232866518,0.0017717319040029267,0.013551974401936562,0.021058559190892723
40.0,0.19347369384765628,0.0005731833362223694,0.04069275299072268,0.00025689785209741364,0.21448828125000008,0.05944826298859684,0.17443554687500007,0.05815547583288805,1.0405781249999995,0.057618688077177384,26.797015625,0.31832933814590025,24.417070312500005,0.2903596481152506,23.203148437499994,0.27639169210328696,0.002035764574961796,0.000890647618452256,0.01618163996573596,0.003439835448415529,0.026797797961108927,0.03927319860478029
50.0,0.3116950927734375,0.0004266782861878537,0.09933099502563476,0.0002641849067106692,0.14115039062499998,0.06117159751038237,0.18440429687500004,0.06752647965108746,-0.487044921875,0.056728202381120675,24.5827890625,0.3131003692585712,25.220851562500002,0.34080763421524624,22.622804687500004,0.2772939943706241,0.0011923876774959652,0.0006633289345172599,0.07083053963305286,0.0021611163335739647,0.011091998059971075,0.01625798783198551
60.0,0.1957173400878906,0.00044871200216922843,0.040001822090148936,0.00017186342422916313,-0.40668945312499993,0.08403962601475604,0.02289648437499999,0.06604851166545417,0.057966796875000004,0.060565018951845115,31.853015625,0.48929839584145335,24.014664062500003,0.32556625556081015,23.68684375000001,0.29625926595966423,0.0022762584142768105,0.002145046355710889,0.07439917965945675,0.0030000946674970663,0.014886092388994854,0.02317098503073023
80.0,0.13185167236328124,0.0008120632528119307,0.019592336273193362,0.00019690692734378976,0.3353242187499999,0.0944724063861899,0.36517578125,0.081789085457242,2.1631093749999994,0.07239110306673098,26.851390625,0.4962235307576229,24.399023437500002,0.4295003117807949,25.058296875,0.41297325745671476,0.020224429136993294,0.005384282352673075,0.18923125204817204,0.008133885242416206,0.041310491124117554,0.036191733759761924
100.0,0.13956889038085937,0.0017661645396242237,0.023963314399719247,0.0004386939404530761,0.15580859374999992,0.07050445844948279,0.004152343749999974,0.10852982411609817,-0.012203125000000023,0.09983635298851244,15.7665,0.32293154565548976,25.529265624999997,0.5962637725851768,24.286937500000004,0.47259436320008447,0.025952508649072392,0.008911485969319344,0.4397055096799818,0.02853826606144505,0.02779882771258535,0.029759916647297047
