n=4,seed=12345
beta,E,dE,E^2,dE^2,A1,dA1,A2,dA2,A3,dA3,A1^2,dA1^2,A2^2,dA2^2,A3^2,dA3^2,I01,I02,I03,I12,I13,I23
0.5,0.49568318176269527,0.0005379640106181095,0.2559354293346406,0.0005386510156857926,-0.03814453125,0.02988700687553323,-0.011982421874999987,0.029804635586549885,0.004365234375000009,0.029323474992746415,15.912023437499998,0.11778918129761072,16.04032421875001,0.11695192649079555,15.959839843749995,0.11306690486071824,0.00013237306797808657,5.427669962010384e-5,4.397201187433808e-5,0.00022624782343516614,0.00014598498573459295,0.00042737025468220224
2.0,0.47630819702148436,0.0006405242029049432,0.23877477979660033,0.000617424898299316,0.012595703125000007,0.031301042781888784,-0.038796875,0.030148562723870443,-0.02382812500000001,0.03089537940766902,16.304503906249998,0.12453127526730462,16.0227109375,0.11819911944699546,15.9808515625,0.12218505560687815,0.00020174324071753347,5.276619319882769e-5,0.000295832150797537,0.00029821175865585303,0.00016431599300670285,0.00040810718371098176
5.0,0.4576499938964843,0.0005146951609439159,0.21788587522506717,0.000477251941455368,0.075515625,0.03122968249218745,0.009392578124999993,0.032605019804273876,0.011953125000000007,0.03282291071109384,15.955289062500002,0.12069374626701185,16.080363281249994,0.11753493198413223,15.969734375,0.12153892333916598,0.00020313180757636218,7.489723739873e-5,0.002111197635129791,0.00026465471472469915,0.00016416324544277217,0.00041124589989838256
10.0,0.421077880859375,0.0005116486359334736,0.18455981492996218,0.00044861965638366534,-0.026103515625000007,0.03271538084379558,0.003578124999999999,0.03343978886871771,0.016314453125000003,0.03253264234429682,15.979613281249998,0.12731315476915256,16.1661484375,0.13785464343273426,15.552878906250001,0.12649339691518982,0.00014036271666117983,7.311504565787885e-5,0.008212492901601642,0.00033519460969877457,0.00020675799486991053,0.000449471785196387
15.0,0.3258636779785156,0.0006446416507634575,0.1160714387893677,0.00044874538216515045,0.048042968750000005,0.0344246797464155,-0.00776367187500001,0.03680870489582132,0.013529296874999997,0.03551305426740067,15.852742187499999,0.135532428292198,15.948621093749997,0.13890962934929552,15.668230468750004,0.12963116952868314,0.0002344197510106838,9.013022907389256e-5,0.011617433671888833,0.0004773520211731608,0.00018098244788600226,0.0005594285886401096
20.0,0.30785049438476547,0.0005624129195421569,0.10158056640625,0.0003749416348560984,-0.014666015624999994,0.03671972111489364,0.047476562499999986,0.04054582166579836,0.066541015625,0.03604506891299713,15.851214843749997,0.1420692019644685,16.00603125,0.15543290492629597,15.007800781250001,0.13800117601286277,0.00020246017892944224,0.00011897000270533198,0.021604450630463568,0.0006585011523450035,0.00018360685576812585,0.0005540955857368246
30.0,0.21978892517089837,0.001367497422468902,0.060572289705276484,0.0006781244583041984,0.007207031249999993,0.03771116586431842,0.013085937500000014,0.05517177919807941,-0.062353515625,0.05481753563604391,11.814921875,0.14595677374791766,16.028835937500002,0.2315289681289478,15.768722656250004,0.19091326290760266,0.0011645665868806887,0.00046832219914083595,0.3158235710554367,0.0015097958987766447,0.0011165668433292808,0.0010773211364654145
40.0,0.3086024780273437,0.0005462748134365825,0.09902528381347658,0.0003358291689657849,-0.0759296875,0.05443671382757141,0.036222656249999985,0.051742856604696984,0.050169921874999975,0.04396362335964964,15.871023437499996,0.21664340013860892,15.908335937500006,0.21313948434218133,14.397644531249995,0.16036049005493047,0.0007578833828301157,0.0003420926741029007,0.15486792550826678,0.001036603168056871,0.0007022689927778103,0.001101411813319686
50.0,0.19352490234374997,0.0005870775089843039,0.04049934101104736,0.0002272939433915285,-0.02279687499999999,0.04455839254926334,0.005574218749999998,0.06238072267893794,0.05727734374999997,0.04668164391675852,12.964851562499998,0.16453643042498525,16.06659375,0.25549988024663256,13.41525,0.16233460002967753,0.0005766120655792406,0.00032034001706282567,0.21022282798593306,0.001663350182402823,0.0006639148164859776,0.0010213208151093056
60.0,0.14418016052246097,0.000728844334818273,0.023359067201614375,0.00022950981019593793,0.36113671875000003,0.12788129059122363,0.12266015625000003,0.07599833589516215,-0.021244140625000008,0.05200613584713474,27.225421875000006,0.5977333400413289,15.917437500000005,0.3270826763473098,11.252667968749995,0.18608369418177859,0.0035460018988215936,0.0012278342381097929,0.4699657754642317,0.003854103861877789,0.0021907227993418488,0.0020974453288822303
80.0,0.14543336486816402,0.0006433885349760158,0.022606492757797247,0.00016410901723054843,0.04242773437499999,0.07668269201388216,0.10534960937500001,0.0777250705985489,0.04004492187500003,0.0676297694111466,16.055324218750002,0.32971847167732327,16.180753906249997,0.33691186352448327,15.362082031249999,0.30003966854605096,0.001728371353896918,0.0009424151762216226,0.2119063959808809,0.004714646881059714,0.0016524642431381409,0.0018175319579958327
100.0,0.026298294067382814,0.0009059791428619143,0.001841477632522583,9.680146256658284e-5,-1.371603515625,0.0912471108863603,-0.003849609375000027,0.12127776750421926,0.19566015625,0.12753744452845212,11.20162890625,0.40293967166372624,18.231855468750002,0.643035738047182,19.727117187500003,0.6847496737414646,0.20715862132634033,0.05031967073183985,0.8875441909888435,0.11662425199280246,0.07807112636014812,0.0482463546617482
